id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
118;Gioielleria Mario Fugazzi;Gioielleria - oreficeria - orologeria;1914;Via Mazzini;8;1;1;DUOMO;9.188383500000043;45.46304100000003;(45.46304100000003, 9.188383500000043)
119;Gioielleria orologeria Mantellato;Orologeria oreficeria;1938;Via Sarpi Frà Paolo;11;1;69;SARPI;9.179253000000074;45.48159000000004;(45.48159000000004, 9.179253000000074)
120;Gioielleria Paolini;Gioielleria;1941;P.zza S. Ambrogio;10;1;1;DUOMO;9.17594466600002;45.46337221700003;(45.46337221700003, 9.17594466600002)
121;Gioielleria Ronchi;Gioielleria, orologeria;1929;Via Gonzaga Maurizio;5;1;1;DUOMO;9.189162000000067;45.461493000000075;(45.461493000000075, 9.189162000000067)
122;Gioielli Orologi e Argenti Verga;Oreficeria;1880;P.zza Duomo;19;1;1;DUOMO;9.188721000000044;45.464841000000035;(45.464841000000035, 9.188721000000044)
123;GioyDea di Pasetti Dea;Merceria, Abbigliamento Intimo;1908;Via Vincenzo Monti;28;1;7;MAGENTA - S. VITTORE;9.17244450000004;45.46859400000005;(45.46859400000005, 9.17244450000004)
124;Giuseppe Rossicone Arte della Ceramica;Produzione ceramiche d'arte;1953;Via Chiossetto;10;1;4;GUASTALLA;9.200628000000052;45.46426500000007;(45.46426500000007, 9.200628000000052)
125;Gobbi;Orologeria Gioielleria;1897;Corso Vittorio Emanuele II;15;1;1;DUOMO;9.196047000000021;45.465678000000025;(45.465678000000025, 9.196047000000021)
126;Grimoldi;Oreficeria, orologeria;1889;P.zza Duomo;21;1;1;DUOMO;9.189585000000022;45.464841000000035;(45.464841000000035, 9.189585000000022)
127;Guerrini;Strumenti musicali;1953;Via delle Erbe;2;1;2;BRERA;9.183901500000047;45.470988000000034;(45.470988000000034, 9.183901500000047)
128;Guidotti Sport;Abbigliamento sportivo;1959;Via Durini;27;1;1;DUOMO;9.198090000000036;45.46553400000005;(45.46553400000005, 9.198090000000036)
129;Gusella;Abbigliamento, calzature, access. bambino;1932;Via Victor Hugo;3;1;1;DUOMO;9.187254000000053;45.46377000000007;(45.46377000000007, 9.187254000000053)
130;Gusella;Abbigliamento, calzature, access. bambino;1947;C.so Vittorio Emanuele;37/B;1;1;DUOMO;9.196564500000022;45.466263000000026;(45.466263000000026, 9.196564500000022)
131;Il Barbiere di San Maurilio;Barbiere;1956;Via San Maurilio;1;1;1;DUOMO;9.18507150000005;45.461538000000075;(45.461538000000075, 9.18507150000005)
132;Il Polifilo libri rari;Libri nuovi e usati;1941;Via Borgonuovo;3;1;2;BRERA;9.191646000000048;45.47049300000003;(45.47049300000003, 9.191646000000048)
133;Illulian;Tappeti e tessuti;1906;Via Manzoni;41;1;2;BRERA;9.193959000000063;45.47142000000008;(45.47142000000008, 9.193959000000063)
134;Incisioni Ravasi;Laboratorio Incisioni;1955;Via dei Piatti;4;1;1;DUOMO;9.18520650000005;45.46071000000006;(45.46071000000006, 9.18520650000005)
135;Jamaica;Bar, ristorante, caffe';1911;Via Brera;32;1;2;BRERA;9.187542000000064;45.472590000000025;(45.472590000000025, 9.187542000000064)
136;La Bottega del Timbro;Timbri, targhe, incisioni;1929;C.so Italia;6;1;1;DUOMO;9.187924500000065;45.45996300000007;(45.45996300000007, 9.187924500000065)
137;La Tavernetta da Elio;Ristorante;1957;Via Fatebenefratelli;30;1;2;BRERA;9.193351500000063;45.47261700000007;(45.47261700000007, 9.193351500000063)
138;LaLuna;Abbigliamento donna;1951;Via Dogana;2;1;1;DUOMO;9.189099000000056;45.46333800000008;(45.46333800000008, 9.189099000000056)
139;Larusmiani;Abbigliamento;1929;Via P. Verri;10;1;1;DUOMO;9.195057000000077;45.467955000000075;(45.467955000000075, 9.195057000000077)
140;Lastella Sergio acconciature maschili;Parrucchiere per uomo;1932;Via Giusti G.;28;1;69;SARPI;9.175630500000068;45.48002400000007;(45.48002400000007, 9.175630500000068)
141;Le Tre Gazzelle;Bar, pasticceria;1954;Galleria del Corso;1;1;1;DUOMO;9.195205500000043;45.46487700000006;(45.46487700000006, 9.195205500000043)
142;Legatoria Conti Borbone;Legatoria libri;1874;C.so Magenta;31;1;1;DUOMO;9.176103000000069;45.46584900000005;(45.46584900000005, 9.176103000000069)
143;Libreria Bocca;Libreria;1775;Gall. Vittorio Emanuele II;12;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
144;Libreria degli uffici Turri;Libreria;1936;Via Turati;26;1;2;BRERA;9.194904000000065;45.47598300000004;(45.47598300000004, 9.194904000000065)
145;Libreria Internazionale Accademia;Libreria;1910;Gall. V. Emanuele;17;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
146;Libreria Malavasi;Libreria;1940;Largo Schuster;1;1;1;DUOMO;9.19256850000005;45.46259100000003;(45.46259100000003, 9.19256850000005)
147;Libreria Mauro;Libreria;1954;Via Rugabella;1;1;1;DUOMO;9.189999000000057;45.45919800000007;(45.45919800000007, 9.189999000000057)
148;Libreria Rizzoli;Libreria;1949;Gall. Vittorio Emanuele II;79;1;1;DUOMO;9.190007877000028;45.465624467000055;(45.465624467000055, 9.190007877000028)
149;Lo Stilista Franco;Parrucchiere;1959;Via Paolo da Cannobio;16;1;1;DUOMO;9.189013500000044;45.46053000000006;(45.46053000000006, 9.189013500000044)
